topic_id,headline_topic,news_outlet,url
4,Ferrari crash on Johor Bahru-Mersing road claims lives of two Singaporeans,The Sun Malaysia,https://thesun.my/news/malaysia-news/singaporean-couple-killed-in-fiery-ferrari-crash/
4,Ferrari crash on Johor Bahru-Mersing road claims lives of two Singaporeans,The Strait Times,https://www.straitstimes.com/singapore/2-singaporeans-dead-after-sports-car-crashes-and-goes-up-in-flames-on-road-to-mersing?ref=search-results
4,Ferrari crash on Johor Bahru-Mersing road claims lives of two Singaporeans,The Rakyat Post,https://www.therakyatpost.com/news/malaysia/2026/05/11/watch-two-singaporeans-die-after-ferrari-bursts-into-flames-during-club-convoy-in-johor/
4,Ferrari crash on Johor Bahru-Mersing road claims lives of two Singaporeans,The Star,https://www.thestar.com.my/news/nation/2026/05/09/singaporean-couple-killed-in-kota-tinggi-after-supercar-crashes-bursts-into-flames
5,"Bersatu expels Kok Lanas and Parit leaders, suspends Mersing MP and Bukit Bunga rep in latest disciplinary action
",Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/11/bersatu-expels-kok-lanas-and-parit-leaders-suspends-mersing-mp-and-bukit-bunga-rep-in-latest-disciplinary-action/219565
5,"Bersatu expels Kok Lanas and Parit leaders, suspends Mersing MP and Bukit Bunga rep in latest disciplinary action
",Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/11/bersatu-sacks-suspends-4-more-leaders
5,"Bersatu expels Kok Lanas and Parit leaders, suspends Mersing MP and Bukit Bunga rep in latest disciplinary action
",NST,https://www.nst.com.my/news/nation/2026/05/1437322/bersatu-sacks-two-more-members-suspends-three-others
5,"Bersatu expels Kok Lanas and Parit leaders, suspends Mersing MP and Bukit Bunga rep in latest disciplinary action
",The Edge Malaysia,https://theedgemalaysia.com/node/803116
5,"Bersatu expels Kok Lanas and Parit leaders, suspends Mersing MP and Bukit Bunga rep in latest disciplinary action
",Bernama,https://bernama.com/en/general/news.php?id=2555676
5,"Bersatu expels Kok Lanas and Parit leaders, suspends Mersing MP and Bukit Bunga rep in latest disciplinary action
",The Sun Malaysia,https://thesun.my/news/malaysia-news/politics/bersatu-expels-suspends-four-more-leaders-for-breaches/
5,"Bersatu expels Kok Lanas and Parit leaders, suspends Mersing MP and Bukit Bunga rep in latest disciplinary action
",The Star,https://www.thestar.com.my/news/nation/2026/05/11/bersatu-expels-suspends-four-more-leaders-for-disciplinary-breaches
6,"EPF introduces i-Legasi, i-Emas and retirement goal calculator to help Malaysians plan for longer golden years
",Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/11/epf-introduces-i-legasi-i-emas-and-retirement-goal-calculator-to-help-malaysians-plan-for-longer-golden-years/219550
6,"EPF introduces i-Legasi, i-Emas and retirement goal calculator to help Malaysians plan for longer golden years
",Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/11/epf-introduces-i-legasi-i-emas-and-retirement-goal-calculator
6,"EPF introduces i-Legasi, i-Emas and retirement goal calculator to help Malaysians plan for longer golden years
",NST,https://www.nst.com.my/business/corporate/2026/05/1437213/epf-bolsters-retirement-savings-new-initiatives
6,"EPF introduces i-Legasi, i-Emas and retirement goal calculator to help Malaysians plan for longer golden years
",Bernama,https://www.bernamabiz.com/news.php?id=2555508/
6,"EPF introduces i-Legasi, i-Emas and retirement goal calculator to help Malaysians plan for longer golden years
",The Sun Malaysia,https://thesun.my/news/malaysia-news/people-issues/epf-unveils-i-legasi-i-emas-and-retirement-calculator/
6,"EPF introduces i-Legasi, i-Emas and retirement goal calculator to help Malaysians plan for longer golden years
",The Rakyat Post,https://www.therakyatpost.com/news/2026/05/11/epf-members-can-now-pass-retirement-savings-to-family/
6,"EPF introduces i-Legasi, i-Emas and retirement goal calculator to help Malaysians plan for longer golden years
",The Star,https://www.thestar.com.my/news/nation/2026/05/11/epf-introduces-i-legasi-i-emas-and-retirement-goal-calculator
7,"A Female Student was stabbed 61 times in Kereteh, Kelantan",Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/01/kelantan-police-woman-stabbed-61-times-before-body-dumped-in-ketereh-paddy-field/218410
7,"A Female Student was stabbed 61 times in Kereteh, Kelantan",Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/02/jealousy-believed-to-be-motive-behind-college-students-fatal-stabbing
7,"A Female Student was stabbed 61 times in Kereteh, Kelantan",NST,https://www.nst.com.my/news/regional/2026/05/1430711/student-stabbed-61-times-jealousy-motive-behind-murder-say-cops-watch
7,"A Female Student was stabbed 61 times in Kereteh, Kelantan",Bernama,https://www.bernama.com/en/general/news.php?id=2552065
7,"A Female Student was stabbed 61 times in Kereteh, Kelantan",The Sun Malaysia,https://thesun.my/news/malaysia-news/crime/family-of-stabbed-teen-asks-for-privacy-to-grieve/#google_vignette
7,"A Female Student was stabbed 61 times in Kereteh, Kelantan",The Rakyat Post,https://www.therakyatpost.com/news/2026/05/12/19-year-old-charged-with-murder-of-ktpm-student-found-stabbed-61-times-in-kelantan/
7,"A Female Student was stabbed 61 times in Kereteh, Kelantan",The Star,https://www.thestar.com.my/news/nation/2026/05/02/victim-stabbed-61-times-laid-to-rest-family-asks-for-space-to-grieve
8,KL flood retention lost 70% of its capacity,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/12/hannah-yeoh-kls-flood-retention-pond-now-70pc-smaller-as-land-lost-to-developers/219613
8,KL flood retention lost 70% of its capacity,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/12/capacity-of-kl-flood-retention-ponds-down-by-30-says-hannah
8,KL flood retention lost 70% of its capacity,NST,https://www.nst.com.my/news/nation/2026/05/1437838/updated-kl-flood-ponds-lost-70pct-capacity-after-land-transferred
8,KL flood retention lost 70% of its capacity,The Edge Malaysia,https://theedgemalaysia.com/node/803259
8,KL flood retention lost 70% of its capacity,Bernama,https://www.bernama.com/en/news.php?id=2556075
8,KL flood retention lost 70% of its capacity,The Star,https://www.thestar.com.my/metro/metro-news/2026/05/12/no-development-on-flood-retention-pond-land-unless-it-meets-did-criteria-says-minister
9,Malaysia regrets Norway’s missile export permit denial,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/13/malaysia-very-disappointed-as-norway-blocks-missile-export-permit-for-lcs-deal-says-fahmi/219799
9,Malaysia regrets Norway’s missile export permit denial,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/13/govt-disappointed-with-norway-scrapping-2018-missile-deal
9,Malaysia regrets Norway’s missile export permit denial,NST,https://www.nst.com.my/news/nation/2026/05/1438664/updated-malaysia-mulls-diplomatic-legal-response-over-norway-missile?source=widget
9,Malaysia regrets Norway’s missile export permit denial,The Edge Malaysia,https://theedgemalaysia.com/node/803418
9,Malaysia regrets Norway’s missile export permit denial,Bernama,https://www.bernama.com/en/general/news.php?id=2556427
9,Malaysia regrets Norway’s missile export permit denial,The Sun Malaysia,https://thesun.my/news/malaysia-news/malaysia-regrets-norways-missile-export-permit-denial/
